                 line1                  |            name            |       district       |                 name                  
 18 Duisburg Boulevard                  | Citt del Vaticano          |                      | Holy See (Vatican City State)
 217 Botshabelo Place                   | Davao                      | Southern Mindanao    | Philippines
 1425 Shikarpur Manor                   | Munger (Monghyr)           | Bihar                | India
 786 Aurora Avenue                      | Shimonoseki                | Yamaguchi            | Japan
 1668 Anpolis Street                    | Lungtan                    | Taipei               | Taiwan
 33 Gorontalo Way                       | Kamarhati                  | West Bengali         | India
 176 Mandaluyong Place                  | Jhansi                     | Uttar Pradesh        | India
 127 Purnea (Purnia) Manor              | Alessandria                | Piemonte             | Italy
 61 Tama Street                         | Kurashiki                  | Okayama              | Japan
 391 Callao Drive                       | Toulouse                   | Midi-Pyrnes          | France
 334 Munger (Monghyr) Lane              | Arak                       | Markazi              | Iran
 1440 Fukuyama Loop                     | Nanyang                    | Henan                | China
 269 Cam Ranh Parkway                   | Chisinau                   | Chisinau             | Moldova
 306 Antofagasta Place                  | Vila Velha                 | Esprito Santo        | Brazil
 671 Graz Street                        | Nador                      | Oriental             | Morocco
 42 Brindisi Place                      | Yerevan                    | Yerevan              | Armenia
 1632 Bislig Avenue                     | Pak Kret                   | Nonthaburi           | Thailand
 1447 Imus Way                          | Faaa                       | Tahiti               | French Polynesia
 1998 Halifax Drive                     | Lipetsk                    | Lipetsk              | Russian Federation
 1718 Valencia Street                   | Antofagasta                | Antofagasta          | Chile
 46 Pjatigorsk Lane                     | Moscow                     | Moscow (City)        | Russian Federation
 686 Garland Manor                      | Juazeiro do Norte          | Cear                 | Brazil
 909 Garland Manor                      | Niznekamsk                 | Tatarstan            | Russian Federation
 725 Isesaki Place                      | Jedda                      | Mekka                | Saudi Arabia
 115 Hidalgo Parkway                    | Omdurman                   | Khartum              | Sudan
 1135 Izumisano Parkway                 | Fontana                    | California           | Murica
 939 Probolinggo Loop                   | A Corua (La Corua)         | Galicia              | Spain
 17 Kabul Boulevard                     | Nagareyama                 | Chiba                | Japan
 1964 Allappuzha (Alleppey) Street      | Iwakuni                    | Yamaguchi            | Japan
 1697 Kowloon and New Kowloon Loop      | Balaiha                    | Moskova              | Russian Federation
 1668 Saint Louis Place                 | Papeete                    | Tahiti               | French Polynesia
 943 Tokat Street                       | Vaduz                      | Vaduz                | Liechtenstein
 1114 Liepaja Street                    | Kuching                    | Sarawak              | Malaysia
 1213 Ranchi Parkway                    | Mysore                     | Karnataka            | India
 81 Hodeida Way                         | Jaipur                     | Rajasthan            | India
 915 Ponce Place                        | Basel                      | Basel-Stadt          | Switzerland
 1717 Guadalajara Lane                  | Saint Louis                | Missouri             | Murica
 1214 Hanoi Way                         | Lincoln                    | Nebraska             | Murica
 1966 Amroha Avenue                     | Daxian                     | Sichuan              | China
 698 Otsu Street                        | Cayenne                    | Cayenne              | French Guiana
 1150 Kimchon Manor                     | Malm                       | Skne ln              | Sweden
 1586 Guaruj Place                      | Xiangtan                   | Hunan                | China
 57 Arlington Manor                     | Shivapuri                  | Madhya Pradesh       | India
 1031 Daugavpils Parkway                | Bchar                      | Bchar                | Algeria
 1124 Buenaventura Drive                | al-Hawiya                  | Mekka                | Saudi Arabia
 492 Cam Ranh Street                    | Baybay                     | Eastern Visayas      | Philippines
 89 Allappuzha (Alleppey) Manor         | Taguig                     | National Capital Reg | Philippines
 1947 Poos de Caldas Boulevard          | Chiayi                     | Chiayi               | Taiwan
 1206 Dos Quebradas Place               | Rio Claro                  | So Paulo             | Brazil
 1551 Rampur Lane                       | Changhwa                   | Changhwa             | Taiwan
 602 Paarl Street                       | Pavlodar                   | Pavlodar             | Kazakstan
 1692 Ede Loop                          | Araatuba                   | So Paulo             | Brazil
 936 Salzburg Lane                      | Rae Bareli                 | Uttar Pradesh        | India
 586 Tete Way                           | Kamakura                   | Kanagawa             | Japan
 1888 Kabul Drive                       | Ife                        | Oyo & Osun           | Nigeria
 320 Baiyin Parkway                     | Mahajanga                  | Mahajanga            | Madagascar
 927 Baha Blanca Parkway                | Simferopol                 | Krim                 | Ukraine
 929 Tallahassee Loop                   | Springs                    | Gauteng              | South Africa
 125 Citt del Vaticano Boulevard        | Atlixco                    | Puebla               | Mexico
 1557 Ktahya Boulevard                  | Bradford                   | England              | United Kingdom
 870 Ashqelon Loop                      | Songkhla                   | Songkhla             | Thailand
 1740 Portoviejo Avenue                 | Sincelejo                  | Sucre                | Colombia
 1942 Ciparay Parkway                   | Cheju                      | Cheju                | South Korea
 1926 El Alto Avenue                    | La Plata                   | Buenos Aires         | Argentina
 1952 Chatsworth Drive                  | Meixian                    | Guangdong            | China
 1370 Le Mans Avenue                    | Bandar Seri Begawan        | Brunei and Muara     | Brunei
 984 Effon-Alaiye Avenue                | Goinia                     | Gois                 | Brazil
 832 Nakhon Sawan Manor                 | Zalantun                   | Inner Mongolia       | China
 152 Kitwe Parkway                      | Bislig                     | Caraga               | Philippines
 1697 Tanauan Lane                      | Pathankot                  | Punjab               | India
 1308 Arecibo Way                       | Augusta-Richmond County    | Georgia              | Murica
 1599 Plock Drive                       | Tete                       | Tete                 | Mozambique
 669 Firozabad Loop                     | al-Ayn                     | Abu Dhabi            | United Arab Emirates
 588 Vila Velha Manor                   | Kimchon                    | Kyongsangbuk         | South Korea
 1913 Kamakura Place                    | Jelets                     | Lipetsk              | Russian Federation
 733 Mandaluyong Place                  | Abha                       | Asir                 | Saudi Arabia
 659 Vaduz Drive                        | Ashdod                     | Ha Darom             | Israel
 1177 Jelets Way                        | Ilorin                     | Kwara & Kogi         | Nigeria
 1386 Yangor Avenue                     | Toulon                     | Provence-Alpes-Cte   | France
 454 Nakhon Sawan Boulevard             | Funafuti                   | Funafuti             | Tuvalu
 1867 San Juan Bautista Tuxtepec Avenue | Ivanovo                    | Ivanovo              | Russian Federation
 1532 Dzerzinsk Way                     | Merlo                      | Buenos Aires         | Argentina
 1002 Ahmadnagar Manor                  | Huixquilucan               | Mxico                | Mexico
 682 Junan Way                          | Klerksdorp                 | North West           | South Africa
 804 Elista Drive                       | Enshi                      | Hubei                | China
 1378 Alvorada Avenue                   | Caracas                    | Distrito Federal     | Venezuela
 793 Cam Ranh Avenue                    | Lancaster                  | California           | Murica
 1079 Tel Aviv-Jaffa Boulevard          | Cuman                      | Sucre                | Venezuela
 442 Rae Bareli Place                   | Duisburg                   | Nordrhein-Westfalen  | Germany
 1107 Nakhon Sawan Avenue               | Nezahualcyotl              | Mxico                | Mexico
 544 Malm Parkway                       | Pemalang                   | Central Java         | Indonesia
 1967 Sincelejo Place                   | Gandhinagar                | Gujarat              | India
 333 Goinia Way                         | Grand Prairie              | Texas                | Murica
 1987 Coacalco de Berriozbal Loop       | Shubra al-Khayma           | al-Qalyubiya         | Egypt
 241 Mosul Lane                         | Dos Quebradas              | Risaralda            | Colombia
 211 Chiayi Drive                       | Etawah                     | Uttar Pradesh        | India
 1175 Tanauan Way                       | Lima                       | Lima                 | Peru
 117 Boa Vista Way                      | Varanasi (Benares)         | Uttar Pradesh        | India
 848 Tafuna Manor                       | Ktahya                     | Ktahya               | Turkey
 569 Baicheng Lane                      | Boksburg                   | Gauteng              | South Africa
 1666 Qomsheh Drive                     | Po                         | So Paulo             | Brazil
 801 Hagonoy Drive                      | Smolensk                   | Smolensk             | Russian Federation
 1050 Garden Grove Avenue               | Jastrzebie-Zdrj            | Slaskie              | Poland
 1854 Tieli Street                      | Liaocheng                  | Shandong             | China
 758 Junan Lane                         | guas Lindas de Gois        | Gois                 | Brazil
 1752 So Leopoldo Parkway               | Mukateve                   | Taka-Karpatia        | Ukraine
 898 Belm Manor                         | Botshabelo                 | Free State           | South Africa
 261 Saint Louis Way                    | Torren                     | Coahuila de Zaragoza | Mexico
 765 Southampton Drive                  | Qalyub                     | al-Qalyubiya         | Egypt
 943 Johannesburg Avenue                | Pune                       | Maharashtra          | India
 788 Atinsk Street                      | Hubli-Dharwad              | Karnataka            | India
 1749 Daxian Place                      | Apeldoorn                  | Gelderland           | Netherlands
 1587 Sullana Lane                      | Hohhot                     | Inner Mongolia       | China
 1029 Dzerzinsk Manor                   | Touliu                     | Ynlin                | Taiwan
 1666 Beni-Mellal Place                 | Clarksville                | Tennessee            | Murica
 928 Jaffna Loop                        | Fukuyama                   | Hiroshima            | Japan
 483 Ljubertsy Parkway                  | Dundee                     | Scotland             | United Kingdom
 374 Bat Yam Boulevard                  | Kilis                      | Kilis                | Turkey
 1027 Songkhla Manor                    | Molodetno                  | Minsk                | Belarus
 999 Sanaa Loop                         | Soshanguve                 | Gauteng              | South Africa
 879 Newcastle Way                      | Sterling Heights           | Michigan             | Murica
 1337 Lincoln Parkway                   | Urawa                      | Saitama              | Japan
 1952 Pune Lane                         | Saint-Denis                | Saint-Denis          | Runion
 782 Mosul Street                       | Brockton                   | Massachusetts        | Murica
 781 Shimonoseki Drive                  | Hidalgo                    | Michoacn de Ocampo   | Mexico
 1560 Jelets Boulevard                  | Laiwu                      | Shandong             | China
 1963 Moscow Place                      | Nagaon                     | Assam                | India
 456 Escobar Way                        | Jakarta                    | Jakarta Raya         | Indonesia
 798 Cianjur Avenue                     | Yuncheng                   | Shanxi               | China
 185 Novi Sad Place                     | Bern                       | Bern                 | Switzerland
 1367 Yantai Manor                      | Ondo                       | Ondo & Ekiti         | Nigeria
 369 Papeete Way                        | Greensboro                 | North Carolina       | Murica
 1440 Compton Place                     | Linz                       | North Austria        | Austria
 1623 Baha Blanca Manor                 | Ljubertsy                  | Moskova              | Russian Federation
 97 Shimoga Avenue                      | Tel Aviv-Jaffa             | Tel Aviv             | Israel
 1740 Le Mans Loop                      | Le Mans                    | Pays de la Loire     | France
 1287 Xiangfan Boulevard                | Kakamigahara               | Gifu                 | Japan
 842 Salzburg Lane                      | Tarsus                     | Adana                | Turkey
 154 Tallahassee Loop                   | Hami                       | Xinxiang             | China
 710 San Felipe del Progreso Avenue     | Lilongwe                   | Lilongwe             | Malawi
 1540 Wroclaw Drive                     | Chandrapur                 | Maharashtra          | India
 475 Atinsk Way                         | Jinchang                   | Gansu                | China
 1294 Firozabad Drive                   | Pingxiang                  | Jiangxi              | China
 1877 Ezhou Lane                        | Udaipur                    | Rajasthan            | India
 316 Uruapan Street                     | Ipoh                       | Perak                | Malaysia
 29 Pyongyang Loop                      | Batman                     | Batman               | Turkey
 1010 Klerksdorp Way                    | Graz                       | Steiermark           | Austria
 1848 Salala Boulevard                  | Ocumare del Tuy            | Miranda              | Venezuela
 431 Xiangtan Avenue                    | Allappuzha (Alleppey)      | Kerala               | India
 757 Rustenburg Avenue                  | Skikda                     | Skikda               | Algeria
 146 Johannesburg Way                   | Matamoros                  | Tamaulipas           | Mexico
 1891 Rizhao Boulevard                  | Santa Brbara dOeste        | So Paulo             | Brazil
 1089 Iwatsuki Avenue                   | Kirovo-Tepetsk             | Kirov                | Russian Federation
 1410 Benin City Parkway                | Pereira                    | Risaralda            | Colombia
 682 Garden Grove Place                 | Memphis                    | Tennessee            | Murica
 533 al-Ayn Boulevard                   | Compton                    | California           | Murica
 1839 Szkesfehrvr Parkway               | Luzinia                    | Gois                 | Brazil
 741 Ambattur Manor                     | s-Hertogenbosch            | Noord-Brabant        | Netherlands
 927 Barcelona Street                   | Shahr-e Kord               | Chaharmahal va Bakht | Iran
 435 0 Way                              | Haldia                     | West Bengali         | India
 140 Chiayi Parkway                     | Sumy                       | Sumy                 | Ukraine
 1166 Changhwa Street                   | Bayugan                    | Caraga               | Philippines
 891 Novi Sad Manor                     | Oshawa                     | Ontario              | Canada
 605 Rio Claro Parkway                  | Tabora                     | Tabora               | Tanzania
 1077 San Felipe de Puerto Plata Place  | Novoterkassk               | Rostov-na-Donu       | Russian Federation
 9 San Miguel de Tucumn Manor           | Firozabad                  | Uttar Pradesh        | India
 447 Surakarta Loop                     | Kisumu                     | Nyanza               | Kenya
 345 Oshawa Boulevard                   | Hino                       | Tokyo-to             | Japan
 1792 Valle de la Pascua Place          | Siegen                     | Nordrhein-Westfalen  | Germany
 1074 Binzhou Manor                     | Mannheim                   | Baden-Wrttemberg     | Germany
 817 Bradford Loop                      | Changzhou                  | Jiangsu              | China
 955 Bamenda Way                        | Ikerre                     | Ondo & Ekiti         | Nigeria
 1149 A Corua (La Corua) Boulevard      | Haiphong                   | Haiphong             | Vietnam
 387 Mwene-Ditu Drive                   | Ashgabat                   | Ahal                 | Turkmenistan
 68 Molodetno Manor                     | Witten                     | Nordrhein-Westfalen  | Germany
 642 Nador Drive                        | Bhusawal                   | Maharashtra          | India
 1688 Nador Lane                        | Gorontalo                  | Sulawesi Utara       | Indonesia
 1215 Pyongyang Parkway                 | Usak                       | Usak                 | Turkey
 1679 Antofagasta Street                | Ciudad del Este            | Alto Paran           | Paraguay
 1304 s-Hertogenbosch Way               | Blumenau                   | Santa Catarina       | Brazil
 850 Salala Loop                        | Nuuk                       | Kitaa                | Greenland
 624 Oshawa Boulevard                   | Balurghat                  | West Bengali         | India
 43 Dadu Avenue                         | Bhilwara                   | Rajasthan            | India
 751 Lima Loop                          | Aden                       | Aden                 | Yemen
 1333 Haldia Street                     | Fuyu                       | Jilin                | China
 660 Jedda Boulevard                    | Bellevue                   | Washington           | Murica
 1001 Miyakonojo Lane                   | Taizz                      | Taizz                | Yemen
 226 Brest Manor                        | Sunnyvale                  | California           | Murica
 1229 Valencia Parkway                  | Stara Zagora               | Haskovo              | Bulgaria
 1201 Qomsheh Manor                     | Aparecida de Goinia        | Gois                 | Brazil
 866 Shivapuri Manor                    | Sambhal                    | Uttar Pradesh        | India
 1168 Najafabad Parkway                 | Kabul                      | Kabol                | Afghanistan
 1244 Allappuzha (Alleppey) Place       | Vicente Lpez               | Buenos Aires         | Argentina
 1842 Luzinia Boulevard                 | Zanzibar                   | Zanzibar West        | Tanzania
 1926 Gingoog Street                    | Syrakusa                   | Sisilia              | Italy
 810 Palghat (Palakkad) Boulevard       | Jaroslavl                  | Jaroslavl            | Russian Federation
 1820 Maring Parkway                    | Mandi Bahauddin            | Punjab               | Pakistan
 60 Poos de Caldas Street               | Jodhpur                    | Rajasthan            | India
 1014 Loja Manor                        | Ambattur                   | Tamil Nadu           | India
 201 Effon-Alaiye Way                   | Asuncin                    | Asuncin              | Paraguay
 430 Alessandria Loop                   | Saarbrcken                 | Saarland             | Germany
 754 Valencia Place                     | Phnom Penh                 | Phnom Penh           | Cambodia
 356 Olomouc Manor                      | Anpolis                    | Gois                 | Brazil
 1256 Bislig Boulevard                  | Botosani                   | Botosani             | Romania
 954 Kimchon Place                      | Uttarpara-Kotrung          | West Bengali         | India
 885 Yingkou Manor                      | Zaria                      | Kaduna               | Nigeria
 1736 Cavite Place                      | Idfu                       | Qina                 | Egypt
 346 Skikda Parkway                     | Jalib al-Shuyukh           | Hawalli              | Kuwait
 98 Stara Zagora Boulevard              | Buenaventura               | Valle                | Colombia
 1479 Rustenburg Boulevard              | Tanza                      | Southern Tagalog     | Philippines
 647 A Corua (La Corua) Street          | Naju                       | Chollanam            | South Korea
 1964 Gijn Manor                        | Shimoga                    | Karnataka            | India
 47 Syktyvkar Lane                      | Ciomas                     | West Java            | Indonesia
 1148 Saarbrcken Parkway                | Iwaki                      | Fukushima            | Japan
 1103 Bilbays Parkway                   | Xiangfan                   | Hubei                | China
 1246 Boksburg Parkway                  | Qinhuangdao                | Hebei                | China
 1483 Pathankot Street                  | San Miguel de Tucumn       | Tucumn               | Argentina
 582 Papeete Loop                       | Lapu-Lapu                  | Central Visayas      | Philippines
 300 Junan Street                       | Uijongbu                   | Kyonggi              | South Korea
 829 Grand Prairie Way                  | Maring                     | Paran                | Brazil
 1473 Changhwa Parkway                  | Coacalco de Berriozbal     | Mxico                | Mexico
 1309 Weifang Street                    | Tallahassee                | Florida              | Murica
 1760 Oshawa Manor                      | Tianjin                    | Tianjin              | China
 786 Stara Zagora Way                   | Oyo                        | Oyo & Osun           | Nigeria
 1966 Tonghae Street                    | Halle/Saale                | Anhalt Sachsen       | Germany
 1497 Yuzhou Drive                      | London                     | England              | United Kingdom
 752 Ondo Loop                          | Miyakonojo                 | Miyazaki             | Japan
 1338 Zalantun Lane                     | Poos de Caldas             | Minas Gerais         | Brazil
 127 Iwakuni Boulevard                  | Hagonoy                    | Central Luzon        | Philippines
 51 Laredo Avenue                       | Monywa                     | Sagaing              | Myanmar
 771 Yaound Manor                       | Beira                      | Sofala               | Mozambique
 532 Toulon Street                      | Santiago de los Caballeros | Santiago             | Dominican Republic
 1027 Banjul Place                      | Halisahar                  | West Bengali         | India
 1158 Mandi Bahauddin Parkway           | Datong                     | Shanxi               | China
 862 Xintai Lane                        | Tuguegarao                 | Cagayan Valley       | Philippines
 816 Cayenne Parkway                    | Portoviejo                 | Manab                | Ecuador
 1831 Nam Dinh Loop                     | Mandaluyong                | National Capital Reg | Philippines
 446 Kirovo-Tepetsk Lane                | Higashiosaka               | Osaka                | Japan
 682 Halisahar Place                    | Olomouc                    | Severn Morava        | Czech Republic
 1587 Loja Manor                        | Salzburg                   | Salzburg             | Austria
 1762 Paarl Parkway                     | Lengshuijiang              | Hunan                | China
 1519 Ilorin Place                      | Palghat (Palakkad)         | Kerala               | India
 920 Kumbakonam Loop                    | Salinas                    | California           | Murica
 906 Goinia Way                         | Kalisz                     | Wielkopolskie        | Poland
 1675 Xiangfan Manor                    | Kumbakonam                 | Tamil Nadu           | India
 85 San Felipe de Puerto Plata Drive    | Yantai                     | Shandong             | China
 144 South Hill Loop                    | Salamanca                  | Guanajuato           | Mexico
 1884 Shikarpur Avenue                  | Karnal                     | Haryana              | India
 1980 Kamjanets-Podilskyi Street        | Peoria                     | Illinois             | Murica
 1944 Bamenda Way                       | Warren                     | Michigan             | Murica
 556 Baybay Manor                       | Ogbomosho                  | Oyo & Osun           | Nigeria
 457 Tongliao Loop                      | Inegl                      | Bursa                | Turkey
 600 Bradford Street                    | Tabriz                     | East Azerbaidzan     | Iran
 1006 Santa Brbara dOeste Manor         | Owo                        | Ondo & Ekiti         | Nigeria
 1308 Sumy Loop                         | Fuzhou                     | Fujian               | China
 1405 Chisinau Place                    | Ponce                      | Ponce                | Puerto Rico
 226 Halifax Street                     | Korla                      | Xinxiang             | China
 1279 Udine Parkway                     | Benin City                 | Edo & Delta          | Nigeria
 1336 Benin City Drive                  | Otsu                       | Shiga                | Japan
 1155 Liaocheng Place                   | Effon-Alaiye               | Oyo & Osun           | Nigeria
 1993 Tabuk Lane                        | Tambaram                   | Tamil Nadu           | India
 86 Higashiosaka Lane                   | Valle de Santiago          | Guanajuato           | Mexico
 1912 Allende Manor                     | Kowloon and New Kowloon    | Kowloon and New Kowl | Hong Kong
 544 Tarsus Boulevard                   | Valle de la Pascua         | Gurico               | Venezuela
 1936 Cuman Avenue                      | Roanoke                    | Virginia             | Murica
 1192 Tongliao Street                   | Sharja                     | Sharja               | United Arab Emirates
 44 Najafabad Way                       | Donostia-San Sebastin      | Baskimaa             | Spain
 32 Pudukkottai Lane                    | Dayton                     | Ohio                 | Murica
 661 Chisinau Lane                      | Kolpino                    | Pietari              | Russian Federation
 951 Stara Zagora Manor                 | Patiala                    | Punjab               | India
 922 Vila Velha Loop                    | Ahmadnagar                 | Maharashtra          | India
 898 Jining Lane                        | Oulu                       | Pohjois-Pohjanmaa    | Finland
 1635 Kuwana Boulevard                  | Hiroshima                  | Hiroshima            | Japan
 41 El Alto Parkway                     | Parbhani                   | Maharashtra          | India
 1883 Maikop Lane                       | Kaliningrad                | Kaliningrad          | Russian Federation
 1908 Gaziantep Place                   | Tiefa                      | Liaoning             | China
 687 Alessandria Parkway                | Sanaa                      | Sanaa                | Yemen
 827 Yuncheng Drive                     | Callao                     | Callao               | Peru
 913 Coacalco de Berriozbal Loop        | Arlington                  | Texas                | Murica
 715 So Bernardo do Campo Lane          | Sungai Petani              | Kedah                | Malaysia
 1354 Siegen Street                     | Angra dos Reis             | Rio de Janeiro       | Brazil
 1191 Sungai Petani Boulevard           | Kansas City                | Missouri             | Murica
 1224 Huejutla de Reyes Boulevard       | Brescia                    | Lombardia            | Italy
 543 Bergamo Avenue                     | Ibirit                     | Minas Gerais         | Brazil
 746 Joliet Lane                        | Kursk                      | Kursk                | Russian Federation
 780 Kimberley Way                      | Tabuk                      | Tabuk                | Saudi Arabia
 1774 Yaound Place                      | Ezhou                      | Hubei                | China
 1957 Yantai Lane                       | Sorocaba                   | So Paulo             | Brazil
 1542 Lubumbashi Boulevard              | Bat Yam                    | Tel Aviv             | Israel
 651 Pathankot Loop                     | Miraj                      | Maharashtra          | India
 1359 Zhoushan Parkway                  | Trshavn                    | Streymoyar           | Faroe Islands
 1769 Iwaki Lane                        | Bydgoszcz                  | Kujawsko-Pomorskie   | Poland
 1145 Vilnius Manor                     | San Felipe del Progreso    | Mxico                | Mexico
 1892 Nabereznyje Telny Lane            | Tafuna                     | Tutuila              | American Samoa
 470 Boksburg Street                    | Birgunj                    | Central              | Nepal
 1427 A Corua (La Corua) Place          | Baha Blanca                | Buenos Aires         | Argentina
 479 San Felipe del Progreso Avenue     | Cuautla                    | Morelos              | Mexico
 867 Benin City Avenue                  | Yuzhou                     | Henan                | China
 981 Kumbakonam Place                   | Braslia                    | Distrito Federal     | Brazil
 1016 Iwakuni Street                    | Kingstown                  | St George            | Saint Vincent and the Grenadines
 663 Baha Blanca Parkway                | Adana                      | Adana                | Turkey
 1860 Taguig Loop                       | Ciparay                    | West Java            | Indonesia
 1816 Bydgoszcz Loop                    | Jamalpur                   | Dhaka                | Bangladesh
 587 Benguela Manor                     | Aurora                     | Illinois             | Murica
 430 Kumbakonam Drive                   | Santa F                    | Santa F              | Argentina
 1838 Tabriz Lane                       | Dhaka                      | Dhaka                | Bangladesh
 431 Szkesfehrvr Avenue                 | Baku                       | Baki                 | Azerbaijan
 503 Sogamoso Loop                      | Sumqayit                   | Sumqayit             | Azerbaijan
 507 Smolensk Loop                      | Sousse                     | Sousse               | Tunisia
 1920 Weifang Avenue                    | Rampur                     | Uttar Pradesh        | India
 124 al-Manama Way                      | Onomichi                   | Hiroshima            | Japan
 1443 Mardan Street                     | Paarl                      | Western Cape         | South Africa
 1909 Benguela Lane                     | Xinxiang                   | Henan                | China
 68 Ponce Parkway                       | Hanoi                      | Hanoi                | Vietnam
 1217 Konotop Avenue                    | Ede                        | Gelderland           | Netherlands
 1293 Nam Dinh Way                      | Boa Vista                  | Roraima              | Brazil
 785 Vaduz Street                       | Mexicali                   | Baja California      | Mexico
 1516 Escobar Drive                     | Nukualofa                  | Tongatapu            | Tonga
 1628 Nagareyama Lane                   | San Lorenzo                | Central              | Paraguay
 1157 Nyeri Loop                        | Maikop                     | Adygea               | Russian Federation
 1673 Tangail Drive                     | Daugavpils                 | Daugavpils           | Latvia
 381 Kabul Way                          | Hsichuh                    | Taipei               | Taiwan
 953 Hodeida Street                     | Imus                       | Southern Tagalog     | Philippines
 469 Nakhon Sawan Street                | Teboksary                  | Tuvassia             | Russian Federation
 1378 Beira Loop                        | Zeleznogorsk               | Krasnojarsk          | Russian Federation
 1641 Changhwa Place                    | Bamenda                    | Nord-Ouest           | Cameroon
 1698 Southport Loop                    | Pachuca de Soto            | Hidalgo              | Mexico
 519 Nyeri Manor                        | Santo Andr                 | So Paulo             | Brazil
 619 Hunuco Avenue                      | Matsue                     | Shimane              | Japan
 45 Aparecida de Goinia Place           | Satna                      | Madhya Pradesh       | India
 482 Kowloon and New Kowloon Manor      | Bratislava                 | Bratislava           | Slovakia
 604 Bern Place                         | Ranchi                     | Jharkhand            | India
 1623 Kingstown Drive                   | Almirante Brown            | Buenos Aires         | Argentina
 1009 Zanzibar Lane                     | Arecibo                    | Arecibo              | Puerto Rico
 114 Jalib al-Shuyukh Manor             | Yaound                     | Centre               | Cameroon
 1163 London Parkway                    | Belm                       | Par                  | Brazil
 1658 Jastrzebie-Zdrj Loop              | Nyeri                      | Central              | Kenya
 817 Laredo Avenue                      | Guadalajara                | Jalisco              | Mexico
 1565 Tangail Manor                     | Okinawa                    | Okinawa              | Japan
 1912 Emeishan Drive                    | Balikesir                  | Balikesir            | Turkey
 230 Urawa Drive                        | Adoni                      | Andhra Pradesh       | India
 1922 Miraj Way                         | Najafabad                  | Esfahan              | Iran
 433 Florencia Street                   | Jurez                      | Chihuahua            | Mexico
 1049 Matamoros Parkway                 | Gulbarga                   | Karnataka            | India
 1061 Ede Avenue                        | Cabuyao                    | Southern Tagalog     | Philippines
 154 Oshawa Manor                       | Probolinggo                | East Java            | Indonesia
 1191 Tandil Drive                      | Tanauan                    | Southern Tagalog     | Philippines
 1133 Rizhao Avenue                     | Vitria de Santo Anto       | Pernambuco           | Brazil
 1519 Santiago de los Caballeros Loop   | Mwene-Ditu                 | East Kasai           | Congo, The Democratic Republic of the
 1618 Olomouc Manor                     | Kurgan                     | Kurgan               | Russian Federation
 220 Hidalgo Drive                      | Kermanshah                 | Kermanshah           | Iran
 686 Donostia-San Sebastin Lane         | Shenzhen                   | Guangdong            | China
 97 Mogiljov Lane                       | Bhavnagar                  | Gujarat              | India
 1642 Charlotte Amalie Drive            | Tychy                      | Slaskie              | Poland
 1368 Maracabo Boulevard                | South Hill                 |                      | Anguilla
 401 Sucre Boulevard                    | Manchester                 | New Hampshire        | Murica
 368 Hunuco Boulevard                   | Namibe                     | Namibe               | Angola
 500 Lincoln Parkway                    | Huaian                     | Jiangsu              | China
 102 Chapra Drive                       | Tama                       | Ibaragi              | Japan
 1793 Meixian Place                     | Kamjanets-Podilskyi        | Hmelnytskyi          | Ukraine
 514 Ife Way                            | Lubumbashi                 | Shaba                | Congo, The Democratic Republic of the
 717 Changzhou Lane                     | Cavite                     | Southern Tagalog     | Philippines
